,f0,fname,folder,len,pitch_mod,sentence,voice
168,143.0,Joanna/2_143.mp3,Joanna,10.776009070294785,-0.47368421052631593,2.0,Joanna_143
169,146.0,Joanna/2_146.mp3,Joanna,10.776009070294785,-0.1578947368421053,2.0,Joanna_146
170,147.0,Joanna/2_147.mp3,Joanna,10.776009070294785,0.1578947368421053,2.0,Joanna_147
171,150.0,Joanna/2_150.mp3,Joanna,10.776009070294785,0.4736842105263155,2.0,Joanna_150
172,153.0,Joanna/2_153.mp3,Joanna,10.776009070294785,0.7894736842105261,2.0,Joanna_153
173,154.0,Joanna/2_154.mp3,Joanna,10.776009070294785,1.1052631578947363,2.0,Joanna_154
174,156.0,Joanna/2_156.mp3,Joanna,10.776009070294785,1.421052631578947,2.0,Joanna_156
175,158.0,Joanna/2_158.mp3,Joanna,10.776009070294785,1.7368421052631575,2.0,Joanna_158
176,158.0,Joanna/2_158.mp3,Joanna,10.776009070294785,2.052631578947368,2.0,Joanna_158
177,160.0,Joanna/2_160.mp3,Joanna,10.776009070294785,2.3684210526315788,2.0,Joanna_160
178,160.0,Joanna/2_160.mp3,Joanna,10.776009070294785,2.6842105263157894,2.0,Joanna_160
179,161.0,Joanna/2_161.mp3,Joanna,10.776009070294785,3.0,2.0,Joanna_161
180,125.0,Joanna/3_125.mp3,Joanna,16.87201814058957,-3.0,3.0,Joanna_125
181,128.0,Joanna/3_128.mp3,Joanna,16.87201814058957,-2.6842105263157894,3.0,Joanna_128
182,129.0,Joanna/3_129.mp3,Joanna,16.87201814058957,-2.3684210526315788,3.0,Joanna_129
183,131.0,Joanna/3_131.mp3,Joanna,16.87201814058957,-2.0526315789473686,3.0,Joanna_131
184,133.0,Joanna/3_133.mp3,Joanna,16.87201814058957,-1.736842105263158,3.0,Joanna_133
185,135.0,Joanna/3_135.mp3,Joanna,16.87201814058957,-1.4210526315789473,3.0,Joanna_135
186,136.0,Joanna/3_136.mp3,Joanna,16.87201814058957,-1.105263157894737,3.0,Joanna_136
187,139.0,Joanna/3_139.mp3,Joanna,16.87201814058957,-0.7894736842105265,3.0,Joanna_139
188,139.0,Joanna/3_139.mp3,Joanna,16.87201814058957,-0.47368421052631593,3.0,Joanna_139
189,142.0,Joanna/3_142.mp3,Joanna,16.87201814058957,-0.1578947368421053,3.0,Joanna_142
190,143.0,Joanna/3_143.mp3,Joanna,16.87201814058957,0.1578947368421053,3.0,Joanna_143
191,146.0,Joanna/3_146.mp3,Joanna,16.87201814058957,0.4736842105263155,3.0,Joanna_146
192,147.0,Joanna/3_147.mp3,Joanna,16.87201814058957,0.7894736842105261,3.0,Joanna_147
193,150.0,Joanna/3_150.mp3,Joanna,16.87201814058957,1.1052631578947363,3.0,Joanna_150
194,150.0,Joanna/3_150.mp3,Joanna,16.87201814058957,1.421052631578947,3.0,Joanna_150
195,150.0,Joanna/3_150.mp3,Joanna,16.87201814058957,1.7368421052631575,3.0,Joanna_150
196,152.0,Joanna/3_152.mp3,Joanna,16.87201814058957,2.052631578947368,3.0,Joanna_152
197,154.0,Joanna/3_154.mp3,Joanna,16.87201814058957,2.3684210526315788,3.0,Joanna_154
198,155.0,Joanna/3_155.mp3,Joanna,16.87201814058957,2.6842105263157894,3.0,Joanna_155
199,155.0,Joanna/3_155.mp3,Joanna,16.87201814058957,3.0,3.0,Joanna_155
200,128.0,Joanna/4_128.mp3,Joanna,14.256009070294784,-3.0,4.0,Joanna_128
201,129.0,Joanna/4_129.mp3,Joanna,14.256009070294784,-2.6842105263157894,4.0,Joanna_129
202,130.0,Joanna/4_130.mp3,Joanna,14.256009070294784,-2.3684210526315788,4.0,Joanna_130
203,132.0,Joanna/4_132.mp3,Joanna,14.256009070294784,-2.0526315789473686,4.0,Joanna_132
204,134.0,Joanna/4_134.mp3,Joanna,14.256009070294784,-1.736842105263158,4.0,Joanna_134
205,136.0,Joanna/4_136.mp3,Joanna,14.256009070294784,-1.4210526315789473,4.0,Joanna_136
206,139.0,Joanna/4_139.mp3,Joanna,14.256009070294784,-1.105263157894737,4.0,Joanna_139
207,140.0,Joanna/4_140.mp3,Joanna,14.256009070294784,-0.7894736842105265,4.0,Joanna_140
208,143.0,Joanna/4_143.mp3,Joanna,14.256009070294784,-0.47368421052631593,4.0,Joanna_143
209,143.0,Joanna/4_143.mp3,Joanna,14.256009070294784,-0.1578947368421053,4.0,Joanna_143
210,145.0,Joanna/4_145.mp3,Joanna,14.256009070294784,0.1578947368421053,4.0,Joanna_145
211,146.0,Joanna/4_146.mp3,Joanna,14.256009070294784,0.4736842105263155,4.0,Joanna_146
212,147.0,Joanna/4_147.mp3,Joanna,14.256009070294784,0.7894736842105261,4.0,Joanna_147
213,147.0,Joanna/4_147.mp3,Joanna,14.256009070294784,1.1052631578947363,4.0,Joanna_147
214,149.0,Joanna/4_149.mp3,Joanna,14.256009070294784,1.421052631578947,4.0,Joanna_149
215,150.0,Joanna/4_150.mp3,Joanna,14.256009070294784,1.7368421052631575,4.0,Joanna_150
216,151.0,Joanna/4_151.mp3,Joanna,14.256009070294784,2.052631578947368,4.0,Joanna_151
217,154.0,Joanna/4_154.mp3,Joanna,14.256009070294784,2.3684210526315788,4.0,Joanna_154
218,155.0,Joanna/4_155.mp3,Joanna,14.256009070294784,2.6842105263157894,4.0,Joanna_155
219,157.0,Joanna/4_157.mp3,Joanna,14.256009070294784,3.0,4.0,Joanna_157
220,119.0,Joanna/5_119.mp3,Joanna,14.83201814058957,-3.0,5.0,Joanna_119
221,121.0,Joanna/5_121.mp3,Joanna,14.83201814058957,-2.6842105263157894,5.0,Joanna_121
222,124.0,Joanna/5_124.mp3,Joanna,14.83201814058957,-2.3684210526315788,5.0,Joanna_124
223,126.0,Joanna/5_126.mp3,Joanna,14.83201814058957,-2.0526315789473686,5.0,Joanna_126
224,129.0,Joanna/5_129.mp3,Joanna,14.83201814058957,-1.736842105263158,5.0,Joanna_129
225,129.0,Joanna/5_129.mp3,Joanna,14.83201814058957,-1.4210526315789473,5.0,Joanna_129
226,133.0,Joanna/5_133.mp3,Joanna,14.83201814058957,-1.105263157894737,5.0,Joanna_133
227,134.0,Joanna/5_134.mp3,Joanna,14.83201814058957,-0.7894736842105265,5.0,Joanna_134
228,136.0,Joanna/5_136.mp3,Joanna,14.83201814058957,-0.47368421052631593,5.0,Joanna_136
229,138.0,Joanna/5_138.mp3,Joanna,14.83201814058957,-0.1578947368421053,5.0,Joanna_138
230,140.0,Joanna/5_140.mp3,Joanna,14.83201814058957,0.1578947368421053,5.0,Joanna_140
